dataset,method,contract,category,bugs,found,reward,bc_cov,first_bug,tokens
defihacklabs,sscfuzz,de:2022-03_Umbrella,business_logic,18,1,37.18,0.5531,30.0,368253
defihacklabs,sscfuzz,de:2022-04_cftoken,access_control,0,0,24.74,0.5422,,652011
defihacklabs,sscfuzz,de:2022-06_Snood,access_control,0,0,21.75,0.3997,,457678
defihacklabs,sscfuzz,de:2022-07_FlippazOne,access_control,6,1,75.27,0.4685,5.0,882922
defihacklabs,sscfuzz,de:2022-10_BEGO,arbitrary_mint,1,1,85.85,0.5864,6.0,664383
defihacklabs,sscfuzz,de:2022-10_EFLeverVault,price_oracle_manipulation,0,0,7.97,0.144,,735073
defihacklabs,sscfuzz,de:2022-10_Templedao,access_control,24,1,43.9,0.6618,26.0,433798
defihacklabs,sscfuzz,de:2022-10_Uerii,arbitrary_mint,29,1,52.55,0.675,2.0,362260
defihacklabs,sscfuzz,de:2023-04_Swapos,business_logic,0,0,27.29,0.5093,,452706
defihacklabs,sscfuzz,de:2023-05_FAPEN,business_logic,7,1,84.21,0.6544,23.0,314575
defihacklabs,sscfuzz,de:2023-05_Melo,arbitrary_mint,10,1,97.06,0.6809,23.0,337309
defihacklabs,sscfuzz,de:2024-02_PANDORA,business_logic,0,0,24.67,0.5407,,489881
defihacklabs,sscfuzz,de:2024-02_SwarmMarkets,arbitrary_mint,14,1,36.06,0.5734,11.0,636901
defihacklabs,sscfuzz,de:2024-04_NGFS,access_control,0,0,14.81,0.3365,,659906
defihacklabs,sscfuzz,de:2024-05_MetaDragon,arbitrary_mint,0,0,26.13,0.4902,,479975
defihacklabs,sscfuzz,de:2024-08_YodlRouter,access_control,0,0,13.47,0.2343,,293687
defihacklabs,sscfuzz,de:2024-09_PLN,price_oracle_manipulation,0,0,22.22,0.4844,,780310
defihacklabs,sscfuzz,de:2024-09_WXETA,arbitrary_mint,0,0,35.72,0.6293,,329472
defihacklabs,sscfuzz,de:2024-11_Ak1111,arbitrary_mint,11,1,71.87,0.4447,10.0,317177
defihacklabs,sscfuzz,de:2024-12_Pledge,access_control,0,0,27.47,0.5161,,601194
defihacklabs,sscfuzz,de:2025-01_98Token,access_control,0,0,21.45,0.3644,,642105
smartbugs,randomfuzz,sm:arbitrary_location_write_simple,access_control,0,0,29.33,0.7333,,0
smartbugs,randomfuzz,sm:incorrect_constructor_name1,access_control,58,1,78.57,0.7143,0.0,0
smartbugs,randomfuzz,sm:incorrect_constructor_name2,access_control,65,1,78.57,0.7143,0.0,0
smartbugs,randomfuzz,sm:incorrect_constructor_name3,access_control,63,1,78.57,0.7143,0.0,0
smartbugs,randomfuzz,sm:mapping_write,access_control,0,0,25.0,0.625,,0
smartbugs,randomfuzz,sm:multiowned_vulnerable,access_control,0,0,21.11,0.5278,,0
smartbugs,randomfuzz,sm:parity_wallet_bug_2,access_control,0,0,16.09,0.4022,,0
smartbugs,randomfuzz,sm:simple_suicide,access_control,100,1,70.0,0.5,0.0,0
smartbugs,randomfuzz,sm:wallet_02_refund_nosub,access_control,15,1,75.71,0.6429,2.0,0
smartbugs,randomfuzz,sm:wallet_03_wrong_constructor,access_control,38,1,77.69,0.6923,0.0,0
smartbugs,randomfuzz,sm:wallet_04_confused_sign,access_control,0,0,23.33,0.5833,,0
smartbugs,randomfuzz,sm:BECToken,arithmetic,0,0,20.38,0.5096,,0
smartbugs,randomfuzz,sm:token,arithmetic,74,1,32.5,0.6875,0.0,0
smartbugs,randomfuzz,sm:tokensalechallenge,arithmetic,0,0,23.64,0.5909,,0
smartbugs,randomfuzz,sm:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,0,0,27.27,0.6818,,0
smartbugs,randomfuzz,sm:0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,0,0,22.67,0.5667,,0
smartbugs,randomfuzz,sm:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,reentrancy,0,0,27.27,0.6818,,0
smartbugs,randomfuzz,sm:0x4e73b32ed6c35f570686b89848e5f39f20ecc106,reentrancy,0,0,27.27,0.6818,,0
smartbugs,randomfuzz,sm:0x561eac93c92360949ab1f1403323e6db345cbf31,reentrancy,0,0,27.27,0.6818,,0
smartbugs,randomfuzz,sm:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,reentrancy,0,0,24.0,0.6,,0
smartbugs,randomfuzz,sm:0x8c7777c45481dba411450c228cb692ac3d550344,reentrancy,0,0,22.86,0.5714,,0
smartbugs,randomfuzz,sm:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,reentrancy,0,0,27.5,0.6875,,0
smartbugs,randomfuzz,sm:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,reentrancy,0,0,27.27,0.6818,,0
smartbugs,randomfuzz,sm:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,reentrancy,0,0,22.86,0.5714,,0
smartbugs,randomfuzz,sm:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,reentrancy,0,0,22.67,0.5667,,0
smartbugs,randomfuzz,sm:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,reentrancy,0,0,22.86,0.5714,,0
smartbugs,randomfuzz,sm:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,reentrancy,0,0,27.5,0.6875,,0
smartbugs,randomfuzz,sm:reentrance,reentrancy,0,0,26.67,0.6667,,0
smartbugs,randomfuzz,sm:reentrancy_bonus,reentrancy,84,1,75.71,0.6429,2.0,0
smartbugs,randomfuzz,sm:reentrancy_dao,reentrancy,25,1,83.33,0.8333,0.0,0
smartbugs,randomfuzz,sm:reentrancy_simple,reentrancy,6,1,81.43,0.7857,30.0,0
smartbugs,randomfuzz,sm:simple_dao,reentrancy,0,0,26.0,0.65,,0
smartbugs,randomfuzz,sm:lotto,unchecked_low_level_calls,23,1,80.77,0.7692,3.0,0
smartbugs,financefuzz,sm:arbitrary_location_write_simple,access_control,0,0,0.0,0.7,,0
smartbugs,financefuzz,sm:incorrect_constructor_name1,access_control,0,0,0.0,0.6429,,0
smartbugs,financefuzz,sm:incorrect_constructor_name2,access_control,0,0,0.0,0.5714,,0
smartbugs,financefuzz,sm:incorrect_constructor_name3,access_control,0,0,0.0,0.5714,,0
smartbugs,financefuzz,sm:mapping_write,access_control,0,0,0.0,0.5625,,0
smartbugs,financefuzz,sm:multiowned_vulnerable,access_control,0,0,0.0,0.5,,0
smartbugs,financefuzz,sm:parity_wallet_bug_2,access_control,0,0,0.0,0.1957,,0
smartbugs,financefuzz,sm:simple_suicide,access_control,0,0,0.0,0.375,,0
smartbugs,financefuzz,sm:wallet_02_refund_nosub,access_control,0,0,0.0,0.6429,,0
smartbugs,financefuzz,sm:wallet_03_wrong_constructor,access_control,0,0,0.0,0.7308,,0
smartbugs,financefuzz,sm:wallet_04_confused_sign,access_control,0,0,0.0,0.625,,0
smartbugs,financefuzz,sm:BECToken,arithmetic,0,0,0.0,0.2404,,0
