dataset,contract,category,iteration,kind,strategy,regime,new_bc,reward,bug,seed_bug,genuine
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,62,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,63,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,64,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,65,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,66,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,67,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,68,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,69,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,70,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,71,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,72,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,73,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,74,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,75,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,76,gen,logic_error_probe,random,1.0,2.9091,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,77,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,78,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,79,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,80,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,81,gen,logic_error_probe,random,1.0,0.1818,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,82,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,83,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,84,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,85,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,86,gen,arithmetic_probe,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,87,gen,reentrancy_probe,random,0.0,0.7273,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,88,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,89,mut,call_insert,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,90,gen,reentrancy_probe,random,0.0,1.2727,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,91,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,92,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,93,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,94,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,95,mut,arg_shuffle,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,96,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,97,mut,call_insert,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,98,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,99,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,0,gen,reentrancy_probe,greedy,9.0,2.4,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,1,gen,arithmetic_probe,random,8.0,3.7333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,2,gen,access_control_probe,greedy,0.0,3.2,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,3,gen,price_oracle_probe,greedy,0.0,1.8667,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,4,gen,logic_error_probe,random,0.0,2.4,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,5,mut,value_perturb,greedy,0.0,3.2,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,6,mut,call_insert,greedy,0.0,2.9333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,7,mut,call_swap,greedy,0.0,2.4,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,8,mut,arg_shuffle,greedy,0.0,3.2,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,9,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,10,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,11,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,12,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,13,gen,logic_error_probe,greedy,4.0,2.6667,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,14,mut,value_perturb,greedy,0.0,1.8667,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,15,mut,call_insert,random,0.0,0.8,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,16,mut,call_swap,random,0.0,1.3333,False,False,False
